countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,weekOfYear
United Kingdom,Christmas Day (Observed),Christmas Day,TRUE,GB,2021/12/27,53
United Kingdom,Boxing Day (Observed),Boxing Day,TRUE,GB,2021/12/28,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2022/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2022/01/02,2
United Kingdom,New Year's Day (Observed),New Year's Day,TRUE,GB,2022/01/03,2
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2022/01/04,2
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2022/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2022/04/15,16
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2022/04/18,17
United Kingdom,May Day,May Day,TRUE,GB,2022/05/02,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2022/05/30,23
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2022/07/12,29
